"","-*","Input file number","Language(s) of the main text","Other Language(s) in the main text","Full Title (native language)","Author's name (transliterated)","Dates of the author","Translator","Dates of the translator","Editor","Dates of the editor","Year of this edition-heze barlasan tuhai","Format of the book","Cover type","Condition of book","Readability of book","Volume","Page numbers","Size of printed area","Size of pages","Text Format","Publisher","Copyright owner","Location of printing-","Colophon","Uuree"
"2452","M0058181-004","W1NLM268-I1N1M268","Tibetan","N","*, ,AOm SVA STI, MGON PO'I GSHEGS GTOR GYI 'DON CHA'I GO RIM NI,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Medium","N","1B-8A","28x8","34x9","MS",NA,NA,NA,NA,"Uuree"
"2453","M0058181-005","W1NLM268-I1N1M268","Tibetan","N","*, ,BKRA SHIS DON 'GRUB BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-7B","28x8","34x8.5","MS",NA,NA,NA,NA,"Uuree"
"2454","M0058181-006","W1NLM268-I1N1M268","Tibetan","N","*, ,BKRA SHIS BRTZEGS PA'I GA-YANG KHUG GI CHO GA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-6B","29.5x6.5","34x9","MS",NA,NA,NA,NA,"Uuree"
"2455","M0058181-007","W1NLM268-I1N1M268","Tibetan","N","*, ,RJE GRUB PA'I DBANG PHYUG SKAL LDAN RGYA MTSO'I GSUNG LAS SKYABS 'GRO'I 'KHRID YIG BSTAN PA'I SGO 'BYED CES BYA BA BZHUGS SO, ,","THOS BSAM RGYA MTSO,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-5A","26x6","35x8","MS",NA,NA,NA,"@004B (ZHES SKYABS 'GRO'I 'KHRID YIG BSTAN PA'I SGO 'BYED CES BYA BA 'DI NI DAD BRTZON RNAM DPYOD PHUN GSUM TSOGS PA'I DGE SLONG AA MGRON THOS BSAM RGYA MTSOS BSKUL NAS, TSIG GI SKYABS 'GRO BSKAL LDAN RGYA MTSOS, 'DON CHA'I SKOR RNAMS 'BRONG RTZE LHA'I BTZUN PA'I THUGS RJE CHEN PO'I @005A *, ,DMAR 'KHRID NAS 'BYUNG BA'I SKYABS 'GRO'I 'KHRID GZHIR BZHAG LA, DMIGS PA'I SKOR LA RGYAL PO BLO BZANG DON GRUB KYIS GSUNG GIS ZUR BRGYAN NAS YI GER BKOD PA'I GNAS NI DPON PA'I DGA' TSAL BSAM GRUB BDE LDAN NO, ,","Uuree"
"2456","M0058181-008","W1NLM268-I1N1M268","Tibetan","N","*, ,CHOS SKYONG GI 'KHU LDOG ZHI BA'I MAN NGAG BDUD RTZI'I CHU RGYUN ZHES BYA BA BZHUGS SO, ,","LCANG RGYA ROL PA'I RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-5B","28x6","35.5x8","MS",NA,NA,NA,"@005B (CHOS SKYONG GI 'KHU LDOG ZHI BA'I MAN NGAG BDUD RTZI'I CHU RGYUN ZHES BYA BA 'DI NI DENG SANG DAN PA'I RJE SU 'BRANG BA'I BLA RIGS SBYIN BDAG MANG PO ZHIG CHOS SKYONG BSTEN RGYUN MANG ZHING BZANG NGAG GYI RNAM RTOG SNA TSOGS PA'I DBANG GIS RGUD PA DU MA 'BYUNG BA SEL THABS STON PA PO RNAMS KYIS KYANG YID BRTAN GANG YANG MED PA'I BRDZUN TSIG GIS SBYIN BDAG BSLU BA BHUR BLANG BA LA BRTEN NAS MCHOG DMAN DU MA ZHIG MI SHES PA'I MTSAN MAS MNAR BA RNAMS LA BRTZE BA'I BSAM LAS KUN NAS BSLANG STE, RGYAL KHAMS PA LCANG SKYA ROL PA'I RDO RJES SBYAR BA'I YI GE PA NI SPYOD LDAN CHOS RJE THUB BSTAN DAR GYIS BGYIS PA BKRA SHIS PAR GYUR CIG , ,,)","Uuree"
"2457","M0058181-009","W1NLM268-I1N1M268","Tibetan","N","*, ,BCOM LDAN 'DAS DAM TSIG GSUM BKOD PA'I RGYAL BA'I SGRUBS THABS SGRIB SPYONG CHO GA 'CHI BSLU'I MAN NGAG DANG BCAS PA GSAL BAR BKOD PA PHAN BDE'I MCHOG SBYIN ZHES BYA BA BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-10A","28x6","35.5x8","MS",NA,NA,NA,"@010A *, ,CES BCOM LDAN 'DAS DAM TSIG GSUM BKOD PA'I RGYAL PO'I SGRUB THABS CHA LAG DANG BCAS PA PHAN BDE'I MCHOG SBYIN ZHES BYA BA 'DI NI, RANG BZHAN MANG PO LA PHAN PA'I PHYIR, TSAD LDAN NKHAS GRUB RNAMS KYI GSUNG DANG PHYAG BZHES LA BRTEN NAS BLA MA DAM PA RNAMS KYI BKA' DRIN LAS TSUL 'DI'I DBANG DANG RJES GNANG GDAMS DAG LA SOGS PA MANG DU THOS PA'I BTZUN GZUGS SNYOM LAS PA ^DAM TSIG RDO RJES SBYAR BA'I YI GE PA NI DGE SLONG BLO BZANG NAM MKHA' RDO RJES BGYIS PA 'DIS KYANG SKYE RGU YONGS KYI PHAN BDE'I LEGS TSOGS SPEL NUS PAR GYUR CIG , ,,SHU BHAm MASTU SARBA DZA GA TAm, ,)","Uuree"
"2458","M0058181-010","W1NLM268-I1N1M268","Tibetan","N","*, ,RTA MGRIN GSANG SGRUB KYI CHOS BSKOR LAS, SHA BRGYA ZAN BRGYA'I CHO GA DGA' BDE'I STER ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-6B","29x8","35x9","MS",NA,NA,NA,NA,"Uuree"
"2459","M0058181-011","W1NLM268-I1N1M268","Tibetan","N","*, ,ME LHA'I MCHOD PA'I CHO GA GA-YANG 'GUGS BYED KYI CHO GA DANG BCAS PA BZHUGS SO, ,","BLO BZANG DPAL MGON MING CAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-5A","30x7","35x9","MS",NA,NA,NA,"@005A *, ,(DNGOS GRUB KUN 'BYUNG SKYA RENGS DKAR PO ZHES BYA BA 'DI MCHED GROGS AIM CHI BCAS BCU PA DANG NGAG DBANG BSTAN 'DZIN GNYIS GZHAN LA PHAN PA'I BSAM PAS SOG YUL 'DIR ME LHA MCHOD CING GA-YANG BLANG SNANG MOD, RANG RE LA LHA BSKYED PA'I CHO GA DANG BCAS PA'I ZHIG BYED DGOS ZHES BSKUL BA'I NGO MA MCHOG PAR SBYIN BSREG GI THAB BSKYED CHOG DANG SLOB DPON PADMAS MDZAD PA'I GA-YANG 'GUGS CHEN MO'I GA-YAR 'GUGS BYED KYI TSIG 'GA' ZHIG BSDUS NAS RAB 'BYAMS PA NGAG DBANG BSOD NAMS KYIS MDZAD PA'I STENG DU NYER SPYOD LNGA SPEL TSIG DANG LUG GI BRANG DANG MAR KHU DAR CHAR 'BUL BA'I TSIG GIS BRGYAN TE, NOM CHI KU'I SHRI CHOS RJE BLO BZANG DPAL MGON MING CAN GYIS SUG BRIS SO, ,BKRA SHIS 'PHEL, ,)","Uuree"
"2460","M0058181-012","W1NLM268-I1N1M268","Tibetan","N","*, ,SA BDAG CHAB GTOR GTONG TSUL RKYEN NGAN KUN SEL ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","19-25A","29x6","35x8","MS",NA,NA,NA,NA,"Uuree"
"2461","M0058181-013","W1NLM268-I1N1M268","Tibetan","N","*, ,'DIR SDE BRGYAD GSER SKYEMS GTONG TSUL NI,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","25B-26A","29x6","35x8","MS",NA,NA,NA,NA,"Uuree"
"2462","M0058181-014","W1NLM268-I1N1M268","Tibetan","N","*, ,NA MO A'ARYA LO KI SHVA RA YA, 'DIR GTOR MA BRGYA RTZA BSDUS PA GTOR BAR 'DOD PAS,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","26B-28A","29x6","35x8","MS",NA,NA,NA,NA,"Uuree"
"2463","M0058181-015","W1NLM268-I1N1M268","Tibetan","N","*, ,NA MO A'ARYA KO LI SHVA RA YA, 'DIR DZAMBHA LA DKAR PO 'BRUG ZHON LHA LNGA'I CHU SBYIN DANG 'BREL PA'I GA-YANG 'GUGS BYA BA BZHUGS SO, ,","SH'A SA NA D'I BAm,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","28B-32B","29x6","35x8","MS",NA,NA,NA,"@032B (ZHES PA 'DI YANG BTZUN GZUGS SH'A SA NA D'I BAm ZHES BYA BAS MKHAS GRUB CHEN PO THO'U KVAN RIN PO CHE DANG, GUNG THANG RIN PO CHE GNYIS KYIS GSUNG SGROS BSGRIGS NAS BRIS PA 'DIS KYANG BSTAN PA DANG 'GRO BA MANG PO LA PHAN THOGS PAR GYUR CIG , ,,)","Uuree"
"2464","M0058181-016","W1NLM268-I1N1M268","Tibetan","N","*, ,NA MO GU RU BHYA: 'DIR KUN GZIGS RGYAL BA LNGA PA CHEN POS DGA' LDAN BSTAN 'DZIN SVO SHOG THU RGYAL POS ZHUS NGOS GNANG BA'I BSANGS MCHOD DGRA LHA DBANG BSTOD DANG SPRANGS PA LHA RGYAL SNYAN PA'I SGRA DBYANGS SU GSUNG BA BZHUGS SO, ,","SH'A SA NA D'I BAm,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","33A-38B","29x6","35x8","MS",NA,NA,NA,"@038B (ZHES PA 'DI BTZUN GZUGS SH'A SA N'A D'I BAm ZHES BYA BAS BSGRIGS PA'I DGE BAS BSTAN PA DANG 'GRO BA MANG PO LA PHAN THOGS PAR GYUR CIG , ,,)","Uuree"
"2465","M0058181-017","W1NLM268-I1N1M268","Tibetan","N","*, ,YE SHES KYI MGON PO GRIB SEL GYI SGO NAS BYABS KHRUS BYA BA'I CHO GA NOR BU KE TA KA ZHES BYA BA BZHUGS SO, ,","SHA' SA NA'I MING CAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","39A-44B","29x6","35x8","MS",NA,NA,NA,"@044B (ZHES PA 'DI DAD LDAN DGE SLONG HUR TSA PI LIG THUS BSKUL BA'I NGOR, BTZUN GZUGS SH'A SA NA'I MING CAN GYIS SBYAR BA'I DGE BAS 'GRO BA MANG PO LA PHAN THOGS PAR GYUR CIG , ,,)","Uuree"
"2466","M0058181-018","W1NLM268-I1N1M268","Tibetan","N","*, ,PHAN BDE KUN 'BYUNG LEGS TSOGS MA LUS PA, 'PHEL ZHING RGYAS PA'I GZHI RTZA BSTAN PA'I SGOR,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1B-2B","26x8","31x9.5","MS",NA,NA,NA,NA,"Uuree"
"2467","M0058181-019","W1NLM268-I1N1M268","Tibetan","N","*, ,RDO RJE SEMS DPA'I SGOM BZLAS BYA TSUL BZHUGS SO, ,","NGAG DBANG BLO BZANG CHOS LDAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-11B","23x5","30x7.5","MS",NA,NA,NA,"@011B (CES PA 'DI NI SDOM BRTZON CHOS LA 'DUN CING RNAM DPYOD YANGS PA'I DGE TSUL 'JIGS MED RDO RJE BSKUL BA'I NGOR, BAN RGAN SNYOMS LAS PA NGAG DBANG BLO BZANG CHOS LDAN DPAL BZANG POS MTSO MDUN GYI LHA KHANG CHEN MOR SBYAR BA'I YI GE PA NI GZHUNG LUGS RAB 'BYAMS PA RNAM DPYOD YANGS SHING RTZIS RIGS LA SBYANG BA'I SMA BA SKU SKYES CHOS LDAN RGYA MTSO'O, ,DGE'O, ,,MANGGA LAm, ,)","Uuree"
"2468","M0058181-020","W1NLM268-I1N1M268","Tibetan","N","*, ,LHAN SKYES 'GO BA'I LHA LNGA'I GSOL MCHOD PHAN BDE'I 'DOD PA 'DOD 'JO ZHES BYA BA BZHUGS SO, ,","BLO BZANG CHOS,",NA,NA,NA,NA,NA,NA,NA,"N/a","Good","Good","N","1A-6A","31.5x7","34x8.5","MS",NA,NA,NA,"@006B (CES 'GO BA'I LHA LNGA'I GSOL MCHOD PHAN BDE 'DOD 'JO ZHES BYA BA 'DI NI RJES BTZUN GZUGS BLO BZANG CHOS KYIS NYI MA'I RANG GI LHA SOGS MKHO BAR BSOD NAS RGYAL DBANG THAMS CAD MKHYEN PA'I GSUNG LAS BAR DU 'KHYOR BDE BAR DBEN GNAS BDEN CING GLING DU SBYAR BA'I YI GE PA NI GU SHRI DGE SLONG BLO BZANG BZOD PA'O, ,DGE LEGS 'PHEL BAR GYUR CIG , ,,DGE'O, ,LEGS SO, ,BKRA SHIS PAR GYUR CIG , ,,MANGGA LAm, ,)","Uuree"
"2469","M0058181-021","W1NLM268-I1N1M268","Tibetan","N","*, ,'GO BA'I LHA LNGA'I GTANG RAG BYA TSUL BZHUGS SO, ,","PA tU SIDDHI,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-3B","29x7","36x9","MS",NA,NA,NA,"@003B (TSUL 'DI NI BSKUL BA PO'I 'DOD MOS LTAR, ^PA tu SIDDHIS BRIS PA DGE LEGS 'PHEL,, ,,)","Uuree"
"2470","M0058181-022","W1NLM268-I1N1M268","Tibetan","N","*, ,'GO BA'I LHA LNGA'I BSKANG GSO BSTOD BSKUL DANG BCAS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-7A","29x7","36x9","MS",NA,NA,NA,NA,"Uuree"
"2471","M0058182-001","W1NLM269-I1N1M269","Tibetan","N","*, ,ZAB LAM BLA MA MCHOD PA'I SNYING PO NYAMS SU LEN TSUL DNGOS GRUB KUN 'BYUNG ZHES BYA BA BZHUGS SO, ,","LHAG BSAM,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-25A","26x6","31x8","MS",NA,NA,NA,"@025A *, ,ZHES PA LTAR RANG DANG SKAL PA MNYAM PA'I DENG DUS KYI KYE BO BLO DMANG 'GA' ZHIG LA PHAN PA'ANG SRID SNYAM PA'I LHAG BSAM GYIS BSGRIGS PA'I YI GE PA NI BLO GSAL MI PHAM BSHES GNYEN GYIS BGYIS PA 'DIS KYANG 'JAM MGON BSTAN PA'I SNYING PO PHYOGS DUS KUN TU RGYAS PAR GYUR CIG , ,,SARBA MANGGA LAm, ,)","Uuree"
"2472","M0058182-002","W1NLM269-I1N1M269","Tibetan","N","*, ,NA MO GU RU, STON PA THUGS RJE MTSUNGS PA'I ZLA DANG BRAL, ,MNYAMS MED BU RAM SHING PA'I RIGS LAS 'KHRUNGS,","DPAL LDAN YE SHES,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-4B","20x5","28.5x7","MS",NA,NA,NA,"@004B (CES SGROL MA'I MAndAL BZHI PAR GRAGS PA'I CHO GA'I YAN LAG TU, SKYABS MGON DPAL LDAN YE SHES KYIS MDZAD PA'I BLA MA BRGYUD PA'I GSOL 'DEBS KYI GRAS SU RANG GYIS THOB PA'I BLA MA'I BRGYUD RAM LTAR BCUG BRIS SO, ,DGE'O, ,)","Uuree"
"2473","M0058182-003","W1NLM269-I1N1M269","Tibetan","N","*, ,ZHABS BRTAN GSOL 'DEBS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-2A","18x5.5","22.5x7.5","MS",NA,NA,NA,NA,"Uuree"
"2474","M0058182-004","W1NLM269-I1N1M269","Tibetan","N","*, ,BKRA SHIS BRTZEGS PA'I GA-YANG SKYABS ZHESM BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-5A","21.5x6","27.5x8","MS",NA,NA,NA,NA,"Uuree"
"2475","M0058182-005","W1NLM269-I1N1M269","Tibetan","N","*, ,SGROL MA'I MAndAL BZHI PA'I SGO NAS DGE MTSAN PHYVA GA-YANG SPEL PA'I CHO GA BYA TSUL DUS NGAN 'TSO BA'I LAG CHA ZHES BYA BA BZHUGS SO, ,","RATNA GI RTI,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-8B","29x6","35x7.5","MS",NA,NA,NA,"@008B (ZHES DGE MTSAN PHYVA GA-YANG SPEL BA'I CHO GA BYA TSUL DUS NGAN 'TSO BA'I LAG CHA ZHES BYA BA 'DI YANG, RGYAL KHAMS MYUL BA'I SPRANG CHUNG DGE SBYONG PA RATNA GI RTIS KUN RTOGS LA SHAR BA LTAR RI MOR SPEL PA'I YI GE PA NI RNAM DPYOD DANG LDAN PA DGE SLONG CHOS KYIS BGYIS PAS DGE MTSAN 'PHEL BAR GYUR CIG , ,,)","Uuree"
"2476","M0058182-006","W1NLM269-I1N1M269","Tibetan","N","*, ,'DIR 'GO BA'I LHA LNGA'I GSOL MCHOD BYA TSUL BZHUGS SO, ,","PHYOGS LAS RNAM RGYAL,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-10A","28x6","33.5x8","MS",NA,NA,NA,"@010A *, ,(CES 'GO BA'I LHA LNGA'I GSOL MCHOD JI LTAR BYA BA'I TSUL 'DI YANG DZA SAG MGON PO SKYABS NAS 'DI LTA BU ZHIG DGOS ZHES BSKUL BA LTAR YIG GZHI MA RNYED PA ZHIG KHYER BYUNG BA DE DAG LA GZHI MA BYAS GSAR RTZOM 'GA' ZHIG GIS KHA BSKANGS TE, ^GSHIN RJE GSHED KYI RNAL 'BYOR PA ^SH'AKYA'I DGE SLONG BLO BZANG DPAL LDAN BSTAN PA'I NYI MA PHYOGS LAS RNAM RGYAL DPAL BZANG POS GZIMS CHUNG BKA' GDAMS PHO BRANG DU SBYAR BA'O, ,BKRA SHIS DPAL 'BAR 'DZAM GLING BRGYAN DU BYA'O, ,)","Uuree"
"2477","M0058182-007","W1NLM269-I1N1M269","Tibetan","N","*, ,'PHAGS PA BKRA SHIS BRTZEGS PA'I SGO NAS GA-YANG 'GUGS PA'I CHO GA BKRA SHIS KUN SDUD ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-7A","28x6","33.5x8","MS",NA,NA,NA,NA,"Uuree"
"2478","M0058182-008","W1NLM269-I1N1M269","Tibetan","N","*, ,RKAR PHYAG 'TSAL BAS SDIG SGRIB MI DGE SOGS KYI BYANG PA'I MDO BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-12A","30x6","34x7.5","MS",NA,NA,NA,NA,"Uuree"
"2479","M0058182-009","W1NLM269-I1N1M269","Tibetan","N","*, ,SHES RAB KYI PHA ROL TU PHYIN PA 'BUM BSDUS PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-7B","30x6","35x7.5","MS",NA,NA,NA,NA,"Uuree"
"2480","M0058182-010","W1NLM269-I1N1M269","Tibetan","N","NO TITLE [@001B PHEEm RANG GI THUGS KA'I NYI GDAN LA GNAS PA'I H'Um YIG GI 'OD ZER GYIS DUR KHROD BRGYAD NA GNAS PA'I PHYOGS SKYONG DANG ZHING SKYONG LA SOGS PA THAMS CAD SPYAN DRANGS TE,]",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-2A","30x6","35.5x8","MS",NA,NA,NA,NA,"Uuree"
"2481","M0058182-011","W1NLM269-I1N1M269","Tibetan","N","NO TITLE [@001B RVA DMAR KHRAG CHANG SBYAR BA'I AARGHAm DANG, DBANG PO'I BSUR CHEN DUD PA'I SPRIN,]",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-2A","28.5x7","34x8.7","MS",NA,NA,NA,NA,"Uuree"
"2482","M0058182-012","W1NLM269-I1N1M269","Tibetan","N","NO TITLE [@001B BHYO: MA KHUS RGYAL BA'I MKHYEN BRTZE'I 'PHRIN LAS RNAMS, GANG 'DUL SPRUL PA'I GAR MDZAD SPYAN RAS GZIGS,]","SH'A SH'A NA DHARMA DHVA RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-2A","26x6","29x7.5","MS",NA,NA,NA,"@002A *, ,(DUS MTSON MA'I BSTOD PA 'DI RJE BTZUN SU MA TI SH'A SH'A NA DHARMA DHVA RJE'I GSUNG NGO, ,)","Uuree"
"2483","M0058182-013","W1NLM269-I1N1M269","Tibetan","N","*, ,LAS BUM PA MO ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-5A","29x7","33.5x8","MS",NA,NA,NA,NA,"Uuree"
"2484","M0058182-014","W1NLM269-I1N1M269","Tibetan","N","NO TITLE [@001B 'DI LTAR SNANG STONG SGYA MA'I RNAM ROL LA SA, 'PHAGS MCHOG SPYAN RAS GZIGS DBANG DKYIL 'KHOR LHA,]",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-3A","29x7","34x8","MS",NA,NA,NA,NA,"Uuree"
"2485","M0058182-015","W1NLM269-I1N1M269","Tibetan","N","NO TITLE [@001B GTZO BO RGYAL PO 'GRO BA'I MGON, 'GRO BA SKYOBS PA'I DON BRTZON PA,]",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-3A","27x7","33x8","MS",NA,NA,NA,NA,"Uuree"
"2486","M0058182-016","W1NLM269-I1N1M269","Tibetan","N","*, ,THUN MONGS RTEN 'BREL SGRIGS BYED PA'I: LHA RNAMS MNYES BYED BSANGS YIG BZHUGS: :*, ,BYANG GTER LUGS KYI RGYAGS BRNGAN LHA BSANGS KYI MCHOD GTOR GYI LAG LEN ZIN BRIS SU BKOD PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-18A","30x8","35x9","MS",NA,NA,NA,NA,"Uuree"
"2487","M0058182-017","W1NLM269-I1N1M269","Tibetan","N","*, ,BYANG GTER LUGS KYI RGYAGS BRNGAN LHA BSANGS KYI MCHOD GTOR GYI LAG LEN ZIN BRIS SU BKOD PA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","18A-20B","30x8","35x9","MS",NA,NA,NA,NA,"Uuree"
"2488","M0058182-018","W1NLM269-I1N1M269","Tibetan","N","*, ,DGRA LHA'I BSANGS GSOL MCHOD BZHUGS SO, ,","BLO BZANG DPAL LDAN YE SHES,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-1B","18x7.8","22x9","MS",NA,NA,NA,"@001B (ZHES DGRA LHA'I BSANGS GSOL MCHOD ZHES PA 'DI NI ^SH'AKYA'I DGE SLONG BLO BZANG DPAL LDAN YE SHES KYI GSUNG 'BUM LAS BTUS TE BRIS PA'O, ,MANGGA LAm, ,)","Uuree"
"2489","M0058182-019","W1NLM269-I1N1M269","Tibetan","N","*, ,DAM CAN CHOS KYI RGYAL PO'I BZLOG BSGYUR RKYEN NGAN SEL BYED BZHUGS SO, ,","BLO BZANG 'PHRIN LAS MING CAN,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-4B","26x6","31x8","MS",NA,NA,NA,"@004B ZHES BSKUL BA'I NGO MA CHOG PAR RANG DANG SKAL GZHAN LA'ANG PHAN PA AE SRID SNYAM PA SLOB GNYER MA BYAS PA'I BLUN PO SNYING KHAMS CAN CHOS RJE BLO BZANG 'PHRIN LAS MING CAN GYIS BLA MA GONG MA RNAMS KYI GSUNG RGYUN LA BSTEN NAS BRIS SU BGYIS PA'O, ,'DIS KYANG RGYAL BA GNYIS PA BSTAN PA RIN PO CHE DAR ZHING RGYAS LA YUN RING DU GNAS PAR GYUR CIG , ,,SARBA MANGGA LAm, ,","Uuree"
"2490","M0058182-020","W1NLM269-I1N1M269","Tibetan","N","*, ,AU RGYAN SLOB DPON PADMA 'BYUNG GNAS KYIS MDZAD PA'I RDZU 'PHRUL GYI 'PHRUR BLTO BRGYA RTZA RGYA NAG NAS 'BYUNG BA'I TSUL ZHES BYA BA BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-46A","31x6","36x7.5","MS",NA,NA,NA,NA,"Uuree"
"2491","M0058182-021","W1NLM269-I1N1M269","Tibetan","N","*, ,SKYER SGANG LUGS KYI RTA MGRIN GSANG SGRUB KYI SGRUB THABS RGYAS PA RTA MCHOG ROL PA'I ZHAL LUNG ZHES BYA BA BZHUGS SO, ,","DAM TSIG RDO RJE,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-5A","27x7.5","31x9","MS",NA,NA,NA,"@005A *, ,(CES DPAL RTA MGRIN GSANG SGRUB KYI DBANG CHEN DANG DBANG BZHI BYIN RLABS KYI BLA MA BRGYUD PA'I GSOL 'DEBS 'DI YANG, BSHES GNYEN DAM PA 'GA' ZHIG GI 'DOD MOS LTAR, DAM TSIG RDO RJE BSGRIGS PA'O, ,BKRA SHIS, ,)","Uuree"
"2492","M0058182-022","W1NLM269-I1N1M269","Tibetan","N","*, ,NANG MCHOD BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-6B","27x7.5","31x9","MS",NA,NA,NA,NA,"Uuree"
"2493","M0058182-023","W1NLM269-I1N1M269","Tibetan","N","*, ,H'Um LHUN GRUB CHOS DBYINGS BDE BA CHEN PO'I TSUL BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1B-3B","30x7.5","35x9","MS",NA,NA,NA,NA,"Uuree"
"2494","M0058182-024","W1NLM269-I1N1M269","Tibetan","N","*, ,RLUNG RTA BSKYED PA'I BSANGS BZHUGS SO, ,",NA,NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-2A","27x7.5","31.5x9","MS",NA,NA,NA,NA,"Uuree"
"2495","M0058183-001","W1NLM270-I1N1M270","Tibetan","N","*, ,RJE BTSUN BLO BZANG BSTAN PA'I RGYAL MTSAN GYI GSUNG 'THOR BU PHYOGS GCIG TU BSDUS PA BZHUGS SO, ,","DAM PA'I MING 'CHANG BA,",NA,NA,NA,NA,NA,NA,NA,"N/a","Medium","Good","N","1A-4A","19x6","25x8.5","MS",NA,NA,NA,"@004A *, ,ZHES PA 'DI NI DAD GUS PHUN SUM TSOGS PA DANG LDAN PA DBU MDZAD CHOS RJE'I THUGS DAM DU, DAM PA'I MING 'CHANG BA'I GYI NA PAS SUG BRIS SU BGYIS PA DGE LEGS 'PHEL, ,","Uuree"
